TNF
CD20
IL1B
IL6
IL6R
RANKL
TNFα
ANGPT2 
CD19
CD20
CD4
ENO1
IL17
TNFSF13B
TNFRSF13C
CD28
CD40
FN1
IL2RB
OX40
PDCD1
TLR4
ITGA1
CD22
CD40L
CSF2
ICOSLG
BIRC3
AIM2
P4HA2
UHRF1 
SFRP1
PIM2
DOT1L
